"","plant","line","lat","pop","mass"
"252",391,"Whitehall_18",33.895767,"Whitehall",0.731777777777778
"253",392,"MacArthur_5",27.177583,"MacArthur",0.00422222222222222
"254",393,"Gen Butler_3",38.675517,"Gen Butler",0.187259259259259
"255",394,"Center Hill_7",36.06935,"Center Hill",0.105333333333333
"257",396,"OCM_10",32.34554,"OCM",0.0437037037037037
"258",397,"Dalton_4",34.670883,"Dalton",0.329703703703704
"260",399,"Center Hill_3",36.06935,"Center Hill",0.131925925925926
"261",400,"Dalton_8",34.670883,"Dalton",0.378592592592593
"263",402,"OCM_17",32.34554,"OCM",0.368
"264",403,"With_43",28.60387,"With",0.0844444444444444
"265",405,"HV_3",37.1818,"HV",0.0714444444444444
"266",406,"Whitehall_16",33.895767,"Whitehall",0.0622222222222222
"267",408,"HV_10",37.1818,"HV",0.202666666666667
"269",410,"MacArthur_15",27.177583,"MacArthur",0.022
"270",411,"TT_7",30.673889,"TT",0.206222222222222
"272",413,"OCM_18",32.34554,"OCM",0.462
"274",416,"Hwy 27_6",26.537067,"Hwy 27",0.032
"275",417,"HV_5",37.1818,"HV",0.116111111111111
"276",418,"TT_25",30.673889,"TT",0.0197777777777778
"277",419,"With_46",28.60387,"With",0.0222222222222222
"278",420,"With_42",28.60387,"With",0.018
"279",422,"Dalton_9",34.670883,"Dalton",0.292333333333333
"280",428,"OCM_5",32.34554,"OCM",0.314296296296296
"282",431,"TT_9",30.673889,"TT",0.444
"283",432,"Gen Butler_7",38.675517,"Gen Butler",0.555333333333333
"284",433,"Gen Butler_1",38.675517,"Gen Butler",0.589
"285",434,"Hwy 27_2",26.537067,"Hwy 27",0.0167777777777778
"286",435,"Whitehall_17",33.895767,"Whitehall",1.35540740740741
"287",436,"Gen Butler_9",38.675517,"Gen Butler",0.100888888888889
"289",440,"OCM_16",32.34554,"OCM",0.53162962962963
"290",441,"MacArthur_16",27.177583,"MacArthur",0.0306666666666667
"291",442,"HV_13",37.1818,"HV",1.18940740740741
"294",446,"With_48",28.60387,"With",0.0484444444444444
"297",451,"TT_10",30.673889,"TT",0.295777777777778
"299",454,"With_47",28.60387,"With",0.00444444444444444
"300",455,"Center Hill_2",36.06935,"Center Hill",0.105777777777778
"301",456,"Dalton_2",34.670883,"Dalton",0.752
"302",457,"Center Hill_8",36.06935,"Center Hill",0.564074074074074
"303",458,"Dalton_6",34.670883,"Dalton",0.343851851851852
"304",459,"TT_5",30.673889,"TT",0.442444444444444
"305",460,"Hwy 27_3",26.537067,"Hwy 27",0.0162222222222222
"306",461,"Center Hill_1",36.06935,"Center Hill",0.329444444444444
"307",462,"Gen Butler_2",38.675517,"Gen Butler",1.17851851851852
"308",463,"Whitehall_2",33.895767,"Whitehall",0.591259259259259
"309",464,"HV_7",37.1818,"HV",0.631481481481482
"311",466,"Whitehall_18",33.895767,"Whitehall",0.0648888888888889
"312",467,"MacArthur_5",27.177583,"MacArthur",0.0207777777777778
"313",469,"Center Hill_7",36.06935,"Center Hill",0.0277777777777778
"315",472,"Dalton_4",34.670883,"Dalton",0.132222222222222
"317",474,"Center Hill_3",36.06935,"Center Hill",0.279333333333333
"318",475,"Dalton_8",34.670883,"Dalton",0.246222222222222
"320",477,"OCM_17",32.34554,"OCM",0.108666666666667
"321",478,"With_43",28.60387,"With",0.0175555555555556
"322",480,"HV_3",37.1818,"HV",0.0865555555555556
"323",481,"Whitehall_16",33.895767,"Whitehall",0.0208888888888889
"324",483,"HV_10",37.1818,"HV",0.139185185185185
"326",485,"MacArthur_15",27.177583,"MacArthur",0.0548888888888889
"327",486,"TT_7",30.673889,"TT",0.220222222222222
"329",491,"Hwy 27_6",26.537067,"Hwy 27",0.0133333333333333
"330",492,"HV_5",37.1818,"HV",0.0677777777777778
"331",493,"TT_25",30.673889,"TT",0.0631111111111111
"332",494,"With_46",28.60387,"With",0.00844444444444444
"333",495,"With_42",28.60387,"With",0.00933333333333333
"334",497,"Dalton_9",34.670883,"Dalton",0.276222222222222
"335",500,"Hwy 27_1",26.537067,"Hwy 27",0.0215555555555556
"336",501,"Whitehall_3",33.895767,"Whitehall",0.0537777777777778
"337",503,"OCM_5",32.34554,"OCM",0.101703703703704
"339",506,"TT_9",30.673889,"TT",0.33437037037037
"340",508,"Gen Butler_1",38.675517,"Gen Butler",0.120777777777778
